,year_built,beds,baths,baths_full,garage,sqft,stories,listPrice,property_type
826,2003.0,3.0,3.0,2.0,2.0,1412.0,2.0,329990.0,Affordable
828,2003.0,4.0,3.0,2.0,2.0,2400.0,2.0,797034.0,Luxury
831,2003.0,3.0,3.0,2.0,2.0,2385.0,2.0,528990.0,Average
833,2003.0,3.0,3.0,2.0,2.0,2400.0,2.0,774990.0,Luxury
836,2003.0,4.0,3.0,2.0,2.0,2067.0,2.0,474990.0,Average
838,2003.0,3.0,3.0,2.0,2.0,1453.0,2.0,572900.0,Average
843,2003.0,4.0,3.0,2.0,2.0,2400.0,2.0,698825.0,Luxury
844,2003.0,4.0,3.0,2.0,2.0,1935.0,2.0,614105.0,Average
850,2003.0,3.0,3.0,2.0,2.0,2400.0,2.0,639990.0,Average
853,2003.0,3.0,3.0,2.0,2.0,1412.0,2.0,329990.0,Affordable
856,2003.0,4.0,3.0,2.0,2.0,2066.0,2.0,641320.0,Average
858,2003.0,3.0,2.0,2.0,2.0,1691.0,2.0,650900.0,Luxury
866,2003.0,3.0,3.0,2.0,2.0,2451.0,2.0,528995.0,Average
867,2003.0,4.0,3.0,2.0,2.0,1859.0,2.0,443100.0,Average
872,2003.0,3.0,3.0,2.0,2.0,2187.0,2.0,314990.0,Affordable
877,2003.0,4.0,3.0,2.0,2.0,2400.0,2.0,520984.0,Average
880,2003.0,3.0,3.0,2.0,2.0,2000.0,2.0,541500.0,Average
882,2003.0,3.0,3.0,2.0,2.0,1427.0,2.0,335900.0,Affordable
886,2003.0,3.0,3.0,2.0,2.0,1664.0,2.0,364900.0,Affordable
888,2003.0,3.0,2.0,2.0,2.0,1399.0,2.0,359990.0,Affordable
890,2003.0,3.0,3.0,2.0,2.0,2400.0,2.0,614230.0,Average
891,2003.0,3.0,3.0,2.0,2.0,1700.0,2.0,529500.0,Average
893,2003.0,3.0,3.0,2.0,2.0,2187.0,2.0,314990.0,Affordable
896,2003.0,3.0,3.0,2.0,2.0,2965.0,2.0,542750.0,Average
898,2003.0,4.0,3.0,2.0,2.0,2247.0,2.0,319990.0,Affordable
903,2003.0,3.0,3.0,2.0,2.0,1818.0,2.0,529990.0,Average
904,2003.0,4.0,3.0,2.0,2.0,1935.0,2.0,590635.0,Average
919,2003.0,3.0,3.0,2.0,2.0,1858.0,2.0,545920.0,Average
921,2003.0,3.0,3.0,2.0,2.0,1550.0,2.0,299990.0,Affordable
924,2003.0,3.0,0.0,2.0,2.0,2400.0,2.0,549990.0,Average
927,2003.0,3.0,2.0,2.0,2.0,1399.0,2.0,389990.0,Affordable
928,2003.0,3.0,3.0,2.0,2.0,2725.0,2.0,534990.0,Average
932,2003.0,3.0,3.0,2.0,2.0,1412.0,2.0,329990.0,Affordable
936,2003.0,3.0,2.0,2.0,2.0,1399.0,2.0,389990.0,Affordable
938,2003.0,4.0,0.0,2.0,2.0,2400.0,2.0,299900.0,Affordable
941,2003.0,4.0,3.0,2.0,2.0,2607.0,2.0,513990.0,Average
947,2003.0,4.0,3.0,2.0,2.0,2291.0,2.0,744600.0,Luxury
948,2003.0,3.0,3.0,2.0,2.0,1530.0,2.0,417900.0,Average
966,2003.0,4.0,3.0,2.0,2.0,2291.0,2.0,769900.0,Luxury
967,2003.0,3.0,3.0,2.0,2.0,1834.0,2.0,449900.0,Average
969,2003.0,3.0,3.0,2.0,2.0,1961.0,2.0,639500.0,Average
971,2003.0,2.0,2.0,2.0,2.0,1997.0,2.0,620900.0,Average
978,2003.0,4.0,3.0,2.0,2.0,2848.0,2.0,606500.0,Average
979,2002.0,5.0,2.0,2.0,2.0,2664.0,2.0,524900.0,Average
980,2003.0,3.0,3.0,2.0,2.0,1412.0,2.0,329990.0,Affordable
983,2003.0,3.0,3.0,2.0,2.0,1706.0,2.0,604900.0,Average
984,2003.0,3.0,3.0,2.0,2.0,1530.0,2.0,387900.0,Affordable
987,2016.0,3.0,2.0,2.0,2.0,2856.0,2.0,469900.0,Average
988,2003.0,3.0,2.0,2.0,2.0,1310.0,2.0,353990.0,Affordable
990,2003.0,3.0,3.0,2.0,2.0,2187.0,2.0,319990.0,Affordable
992,2003.0,3.0,3.0,2.0,2.0,1915.0,2.0,560625.0,Average
998,2003.0,3.0,3.0,2.0,2.0,2747.0,2.0,479900.0,Average
1000,2003.0,3.0,2.0,2.0,2.0,1310.0,2.0,353990.0,Affordable
1002,2003.0,3.0,3.0,2.0,2.0,2270.0,2.0,572500.0,Average
1007,2003.0,3.0,3.0,2.0,2.0,1708.0,2.0,615000.0,Average
1011,2003.0,3.0,3.0,2.0,2.0,2460.0,2.0,577900.0,Average
1013,2019.0,3.0,2.0,2.0,2.0,2804.0,2.0,499000.0,Average
1014,2003.0,4.0,3.0,2.0,2.0,1615.0,2.0,396990.0,Affordable
1015,2003.0,3.0,3.0,2.0,2.0,2667.0,2.0,551900.0,Average
1018,2003.0,3.0,3.0,2.0,2.0,2289.0,2.0,454900.0,Average
1021,2003.0,4.0,3.0,2.0,2.0,2614.0,2.0,726900.0,Luxury
1022,2003.0,4.0,3.0,2.0,2.0,2066.0,2.0,715900.0,Luxury
1024,2003.0,3.0,3.0,2.0,2.0,2187.0,2.0,319990.0,Affordable
1027,2003.0,3.0,2.0,2.0,2.0,1399.0,2.0,378990.0,Affordable
1029,2003.0,3.0,3.0,2.0,2.0,1700.0,2.0,512500.0,Average
1030,2003.0,4.0,3.0,2.0,2.0,2424.0,2.0,595900.0,Average
1031,2003.0,4.0,3.0,2.0,2.0,2583.0,2.0,610500.0,Average
1032,2003.0,3.0,3.0,2.0,2.0,1925.0,2.0,631900.0,Average
1033,2003.0,4.0,3.0,2.0,2.0,2247.0,2.0,319990.0,Affordable
1039,2003.0,3.0,2.0,2.0,2.0,1310.0,2.0,356990.0,Affordable
1045,2003.0,3.0,3.0,2.0,2.0,2520.0,2.0,587500.0,Average
1050,2003.0,4.0,3.0,2.0,2.0,1615.0,2.0,396990.0,Affordable
1052,2003.0,4.0,3.0,2.0,2.0,2291.0,2.0,772500.0,Luxury
1055,2003.0,3.0,3.0,2.0,2.0,2250.0,2.0,549990.0,Average
1057,2003.0,3.0,2.0,2.0,2.0,1540.0,2.0,364900.0,Affordable
1063,2003.0,2.0,3.0,2.0,2.0,1590.0,2.0,505500.0,Average
1065,2003.0,3.0,2.0,2.0,2.0,1310.0,2.0,353990.0,Affordable
1070,2003.0,3.0,3.0,2.0,2.0,1806.0,2.0,438500.0,Average
1073,2003.0,3.0,3.0,2.0,2.0,2187.0,2.0,314990.0,Affordable
1078,2003.0,3.0,3.0,2.0,2.0,2224.0,2.0,616500.0,Average
1087,2003.0,3.0,2.0,2.0,2.0,1540.0,2.0,364900.0,Affordable
1091,2003.0,3.0,3.0,2.0,2.0,1759.0,2.0,529990.0,Average
1093,2003.0,3.0,3.0,2.0,2.0,2191.0,2.0,469990.0,Average
1095,2003.0,3.0,3.0,2.0,2.0,2030.0,2.0,541500.0,Average
1096,2003.0,4.0,3.0,2.0,2.0,2247.0,2.0,439990.0,Average
1097,2003.0,4.0,3.0,2.0,2.0,1616.0,2.0,444990.0,Average
1098,2003.0,3.0,3.0,2.0,2.0,2520.0,2.0,606500.0,Average
1099,2003.0,2.0,3.0,2.0,2.0,1862.0,2.0,545500.0,Average
1103,2003.0,3.0,3.0,2.0,2.0,3120.0,2.0,599900.0,Average
1104,2003.0,3.0,3.0,2.0,2.0,3055.0,2.0,469990.0,Average
1109,2003.0,3.0,2.0,2.0,2.0,1399.0,2.0,389990.0,Affordable
1110,2003.0,3.0,3.0,2.0,2.0,2000.0,2.0,511500.0,Average
1115,2003.0,3.0,2.0,2.0,2.0,1540.0,2.0,364900.0,Affordable
