,bathrooms,has3DModel,propertyType,lotAreaValue,unit,priceChange,zestimate,daysOnZillow,datePriceChanged,price,bedrooms,longitude,hasVideo,latitude,zpid,rentZestimate,lotAreaUnit,livingArea,Street Address,City,State/ZIP
327,2,0,SINGLE_FAMILY,3920.4,BUILDER_SPEC,,788400.0,12,,799999,3.0,-74.19762,False,40.51595,32367671,3245,sqft,2250,20 Memo St,Staten Island,NY 10309
328,1,0,CONDO,,Apt 1H,-11500.0,,274,1731744000000.0,218000,2.0,-73.84694,False,40.66538,349785606,2267,,915,8829 155th Ave APT 1H,Howard Beach,NY 11414
329,1,0,CONDO,0.5089072543618,Apt 7H,,351700.0,4,,350000,2.0,-73.91177,False,40.822433,89067116,2384,acres,926,837 Washington Avenue #7H,Bronx,NY 10451
330,2,0,CONDO,,23,,465000.0,5,,465000,2.0,-73.90079,False,40.626812,30772559,3051,,1003,7917 Seaview Ave #23,Brooklyn,NY 11236
332,1,0,CONDO,,Apt 3C,-40000.0,703800.0,137,1733731200000.0,699000,2.0,-73.98345,False,40.721214,92428419,4118,,0,309 E Houston St APT 3C,New York,NY 10002
334,1,0,CONDO,,1B,,,3,,595000,1.0,-73.97686,False,40.669018,446735687,,,0,320 8th Ave #1B,Brooklyn,NY 11215
335,3,0,MULTI_FAMILY,,1,,860600.0,53,,849000,4.0,-73.806244,False,40.680294,443275826,,,0,115-14 135th St #1,South Ozone Park,NY 11420
336,2,0,CONDO,,Apt 4D,,2401500.0,6,,2395000,2.0,-73.99664,False,40.69304,79713459,6441,,0,277 Hicks St APT 4D,Brooklyn,NY 11201
337,3,0,CONDO,,2,-145000.0,2130700.0,11,1737532800000.0,2150000,3.0,-73.97994,False,40.682865,439962165,,,1554,345 Bergen St #2,Brooklyn,NY 11217
338,2,0,CONDO,,3N-P,,2681500.0,6,,2750000,2.0,-73.98351,False,40.6867,2057074698,6193,,1854,423 Atlantic Ave #3N-P,Brooklyn,NY 11217
339,1,0,CONDO,,6-392,,,5,,439000,2.0,-73.801315,False,40.783638,446396447,,,820,160-27 17th Avenue #6-392,Whitestone,NY 11357
343,1,0,CONDO,,Apt 2F,,592200.0,53,,575000,1.0,-73.98395,False,40.68397,123129247,3121,,0,256 Bergen St APT 2F,Brooklyn,NY 11217
347,2,0,CONDO,,2,,1707700.0,4,,1735000,2.0,-73.98327,False,40.674225,2078634509,4647,,1086,286 1st St #2,Brooklyn,NY 11215
350,3,0,SINGLE_FAMILY,1306.8,A,,424700.0,144,,425000,3.0,-74.14992,False,40.607758,2064678948,3286,sqft,1887,37 Dreyer Ave #A,Staten Island,NY 10314
351,1,0,CONDO,,Apt 422,,,2,,238000,1.0,-73.81637,False,40.713158,79516091,,,800,8401 Main Street #422,Briarwood,NY 11435
355,2,0,CONDO,,Apt 101,,1407300.0,41,,1400000,2.0,-73.98027,False,40.774113,119911998,6188,,1550,39 W 67th St APT 101,New York,NY 10023
356,1,0,CONDO,,Unit 1L,-10000.0,247800.0,121,1736928000000.0,249000,2.0,-73.84725,False,40.665077,441199821,,,,86-34 155 Avenue #1L,Howard Beach,NY 11414
358,2,0,CONDO,,3B,,1193000.0,12,,1195000,2.0,-73.948364,False,40.72208,444357313,,,0,65 Eckford St #3B,Brooklyn,NY 11222
360,1,0,CONDO,,Apt C3,,,151,,359000,2.0,-74.03341,False,40.614727,245024494,2503,,820,325 Marine Ave APT C3,Brooklyn,NY 11209
363,1,0,CONDO,,Apt 22,-15000.0,,138,1738051200000.0,334000,1.0,-73.968735,False,40.755543,72524381,4310,,0,246 E 51st St APT 22,Manhattan,NY 10022
366,3,0,SINGLE_FAMILY,3049.2,BUILDER_SPEC,,780000.0,8,,789800,3.0,-74.144424,False,40.540592,79735495,3653,sqft,2160,30 Dockside Ln,Staten Island,NY 10308
368,1,0,CONDO,,Apt 6F,,,24,,309000,1.0,-73.97912,False,40.739063,244872273,5685,,0,311 E 25th St APT 6F,New York,NY 10010
369,4,0,SINGLE_FAMILY,,TOWNHOUSE,,8113200.0,9,,8475000,4.0,-73.995445,False,40.688606,445922653,,,4362,246 Clinton St #TOWNHOUSE,Brooklyn,NY 11201
372,7,0,CONDO,,PENTHOUSE,,,858,,32500000,5.0,-73.9937,False,40.72857,442755067,,,8000,704 Broadway #PENTHOUSE,New York,NY 10003
373,3,0,CONDO,,7BC,,1901000.0,3,,1895000,3.0,-73.95643,False,40.777885,81771992,4435,,0,144 E 84th St #7BC,New York,NY 10028
379,1,0,CONDO,,Apt 10C,,1336400.0,6,,1295000,2.0,-73.9897,False,40.73235,72512829,4229,,0,111 4th Ave APT 10C,New York,NY 10003
382,1,0,CONDO,,Apt 5C,,,696,,90000,1.0,-73.86301,False,40.880783,244454627,,,800,724 E 216th Street #5C,Bronx,NY 10467
385,2,0,CONDO,,Apt 1A,,,146,,725000,2.0,-73.95312,False,40.784676,244841082,6167,,1465,1185 Park Ave APT 1A,New York,NY 10128
389,1,0,CONDO,,3R,,303700.0,3,,300000,1.0,-73.83642,True,40.720646,79741544,2418,,0,72-61 113th St #3R,Queens,NY 11375
